id,score,score_factor
958,4,good
959,1,good
960,6,very good
961,6,very good
962,6,very good
963,1,good
964,4,good
965,1,good
966,1,good
967,2,good
968,2,good
969,-5,bad
970,-5,bad
971,1,good
972,1,good
973,4,good
974,4,good
975,1,good
976,1,good
977,1,good
978,1,good
979,1,good
980,3,good
981,4,good
982,1,good
983,1,good
984,1,good
985,1,good
986,-12,very bad
987,1,good
988,1,good
989,1,good
990,1,good
991,1,good
992,1,good
993,-5,bad
994,-5,bad
995,-5,bad
996,6,very good
997,6,very good
998,1,good
999,2,good
1000,1,good
1001,1,good
1002,16,very good
1003,1,good
1004,1,good
1005,1,good
1006,1,good
1007,1,good
1008,1,good
1009,1,good
1010,-1,bad
1011,2,good
1012,1,good
1013,3,good
1014,3,good
1015,4,good
1016,4,good
1017,3,good
1018,4,good
1019,6,very good
1020,16,very good
1021,16,very good
1022,1,good
1023,1,good
1024,1,good
1025,4,good
1026,1,good
1027,3,good
1028,5,very good
1029,1,good
1030,-1,bad
1031,1,good
1032,1,good
1033,3,good
1034,1,good
1035,4,good
1036,4,good
1037,6,very good
1038,6,very good
1039,1,good
1040,1,good
1041,1,good
1042,1,good
1043,1,good
1044,4,good
1045,1,good
1046,1,good
1047,1,good
1048,1,good
1049,1,good
1050,1,good
1051,1,good
1052,4,good
1053,1,good
1054,4,good
1055,1,good
1056,6,very good
1057,4,good
1058,1,good
1059,1,good
1060,4,good
1061,-3,bad
1062,-3,bad
1063,1,good
1064,1,good
1065,1,good
1066,-3,bad
1067,-3,bad
1068,5,very good
1069,-3,bad
1070,4,good
1071,1,good
1072,7,very good
1073,1,good
1074,1,good
1075,16,very good
1076,4,good
1077,-3,bad
1078,2,good
1079,4,good
1080,4,good
1081,4,good
1082,1,good
1083,4,good
1084,4,good
1085,3,good
1086,6,very good
1087,-4,bad
1088,-1,bad
1089,7,very good
1090,4,good
1091,16,very good
1092,4,good
1093,4,good
1094,1,good
1095,1,good
1096,1,good
1097,1,good
1098,1,good
1099,1,good
1100,4,good
1101,4,good
1102,6,very good
1103,6,very good
1104,6,very good
1105,1,good
1106,1,good
1107,5,very good
1108,-3,bad
1109,4,good
1110,1,good
1111,3,good
1112,1,good
1113,1,good
1114,1,good
1115,1,good
1116,1,good
1117,4,good
1118,4,good
1119,1,good
1120,1,good
1121,1,good
1122,2,good
1123,2,good
1124,1,good
1125,6,very good
1126,3,good
1127,6,very good
1128,-3,bad
1129,1,good
1130,3,good
1131,3,good
1132,1,good
1133,4,good
1134,4,good
1135,1,good
1136,4,good
1137,-1,bad
1138,4,good
1139,3,good
1140,1,good
1141,1,good
1142,1,good
1143,1,good
1144,1,good
1145,1,good
1146,1,good
1147,4,good
1148,1,good
1149,3,good
1150,3,good
1151,3,good
1152,3,good
1153,3,good
1154,1,good
1155,1,good
1156,1,good
1157,1,good
1158,1,good
1159,-1,bad
1160,1,good
1161,-1,bad
1162,6,very good
1163,3,good
1164,1,good
1165,1,good
1166,3,good
1167,3,good
1168,-1,bad
1169,3,good
1170,1,good
1171,-3,bad
1172,-1,bad
1173,-1,bad
1174,2,good
1175,2,good
1176,2,good
1177,-3,bad
1178,6,very good
1179,1,good
1180,1,good
1181,4,good
1182,4,good
1183,4,good
1184,1,good
1185,1,good
1186,4,good
1187,2,good
1188,1,good
1189,3,good
1190,1,good
1191,1,good
1192,1,good
1193,6,very good
1194,6,very good
1195,4,good
1196,1,good
1197,1,good
1198,3,good
1199,1,good
1200,4,good
1201,4,good
1202,4,good
1203,12,very good
1204,4,good
1205,4,good
1206,-1,bad
1207,-1,bad
1208,-3,bad
1209,-3,bad
1210,4,good
1211,3,good
1212,1,good
1213,-3,bad
1214,-3,bad
